scorer,,,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor
bodyparts,,,wire,wire,snout,snout,rEar,rEar,lEar,lEar,trPaw,trPaw,tlPaw,tlPaw,bodyC,bodyC,brPaw,brPaw,blPaw,blPaw,baseTail,baseTail,endTail,endTail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,FoxP2_118_100622_6-OHDA_CONT_GP_comp,img00624.png,330.50556913640605,400.5028890172898,,,,,306.54005955820253,446.936063825059,188.21035601582287,339.09127072314334,237.63921952086756,367.55031334726,227.15430908040355,430.45977599004414,47.41298724387741,550.2873238810614,189.7082003644606,397.5072003200144,143.2750255566914,532.3131916974089,373.9430552468998,767.4747544335304
labeled-data,FoxP2_118_100622_6-OHDA_CONT_GP_comp,img01490.png,273.5874838881728,551.7851682296991,254.1155073558824,550.2873238810614,,,209.1801768967509,566.7636117160763,227.15430908040355,481.3864838437265,192.70388906173605,479.8886394950888,149.26640295124218,473.8972621005379,33.93238810613798,424.4683985954932,159.75131339170628,503.8541490732922,74.37418551935639,559.2743899728878,388.92149873327696,628.1752300102228
labeled-data,FoxP2_118_100622_6-OHDA_CONT_GP_comp,img02376.png,342.48832392550776,512.8412151651186,372.4452108982621,482.88432819236425,,,302.04652651228935,524.8239699542203,275.0853282368105,400.5028890172898,261.60472909907105,484.382172541002,216.66939863993943,454.4252855682476,101.33538379483524,452.9274412196098,239.13706386950523,530.8153473487712,155.2577803457931,566.7636117160763,418.8783857060314,469.4037290546247
labeled-data,FoxP2_118_100622_6-OHDA_CONT_GP_comp,img02735.png,211.9355066062361,393.7262430128612,98.17466735839844,361.73193359375,,,188.55998292831052,388.05419858790776,76.16227966006022,552.8089760088635,71.87639672972591,384.8277732587146,182.47630310058597,466.2542114257813,189.6982879638672,561.1859741210938,44.57735824584961,417.3007507324219,179.0061798095703,415.9235229492188,94.32421112060548,162.98619079589844
labeled-data,FoxP2_118_100622_6-OHDA_CONT_GP_comp,img02769.png,173.2319125294457,345.08264811769425,98.33969509755993,301.6451620072005,,,182.218978621272,367.55031334725993,53.40436463842832,403.4985777145652,89.35262900573355,339.09127072314334,137.28364816214048,410.9877994577538,186.71251166718517,563.767923018801,47.41298724387741,419.97486554958,183.71682296990969,419.97486554958,93.84616205164671,153.3585714920664
labeled-data,FoxP2_118_100622_6-OHDA_CONT_GP_comp,img03157.png,334.9991021823191,505.35199342192993,345.4840126227832,457.420974265523,,,309.535748255478,538.3045690919597,236.1413751722298,399.0050446686521,261.60472909907105,496.3649273301037,200.19311080492457,472.39941775190016,78.86771856526946,463.4123516600739,216.66939863993943,533.8110360460465,144.77286990532912,584.7377438997289,418.8783857060314,508.3476821192054
labeled-data,FoxP2_118_100622_6-OHDA_CONT_GP_comp,img03592.png,175.4221649169922,200.91070556640625,106.7433853149414,143.62782287597656,,,197.7530964331263,240.2049865722656,70.73113982246582,232.3316851722761,85.3841552734375,264.2824401855469,132.46585083007812,308.4611511230469,177.35674561152007,487.51322402548135,59.41000712122798,374.5333327443915,147.6609344482422,471.0520324707031,417.8341064453125,599.9520263671875
labeled-data,FoxP2_118_100622_6-OHDA_CONT_GP_comp,img04178.png,200.19311080492457,226.7529445753146,138.7814925107782,165.34132628116822,,,225.65646473176585,258.20767589670663,30.936699408862523,285.1688741721856,122.30520467576332,222.25941152940152,173.2319125294457,303.1430063558382,147.76855860260446,467.9058847059871,131.29227076758957,277.679652428997,227.15430908040355,342.0869594204188,281.0767056313614,38.02455664696231
