scorer,,,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor
bodyparts,,,wire,wire,snout,snout,rEar,rEar,lEar,lEar,trPaw,trPaw,tlPaw,tlPaw,bodyC,bodyC,brPaw,brPaw,blPaw,blPaw,baseTail,baseTail,endTail,endTail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img00362.png,258.4237976074219,137.46580505371094,,,,,,,,,,,179.82521057128906,150.452392578125,189.0759311033263,246.56920463622703,101.05045258481232,49.25090673178681,115.51869201660156,201.954345703125,328.11889796929074,369.1122318454157
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img00595.png,110.10409545898438,520.957275390625,40.85273361206055,539.7693481445312,155.42279052734375,497.8501281738281,,,176.4730224609375,500.4019470214844,68.08432006835938,455.988037109375,121.0859375,404.0126037597656,64.18615044327748,267.25431992952394,43.34260559082031,338.4205322265625,125.61137056015492,265.3813340464542,21.60009765625,448.646484375
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img00656.png,138.8372260989379,396.85579359082624,54.4601426730078,387.81539179519086,179.51903417929702,378.7749899995555,,,114.7294879772436,413.4298635494911,45.41974087737242,365.2143873061025,128.2900906706966,306.4517756344727,205.13350593359712,295.9046402062314,43.91300724476662,312.47871016489626,135.82375883372606,185.91308502600123,21.31200275567812,416.4433308147029
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img00876.png,330.19239743988635,291.3844393084138,304.57792568558614,262.75650028890175,,,295.5375238899508,332.0662473887728,253.3489821769857,210.02082314769552,271.42978576825647,282.3440375127784,208.14697319880892,265.7699675541136,80.074614427308,231.115094004178,196.09310413796183,235.6352949019957,162.9449642206322,339.59991555180227,393.47521000933386,163.31208053691284
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img01242.png,212.72833251953125,134.34735107421875,,,,,207.87969725805635,112.7899332798038,,,122.66350104756988,52.77499077371908,124.37289428710938,152.88116455078125,174.97340636666843,264.30913177779155,23.43492126464844,91.35543823242188,117.66552734375,241.03170776367188,400.8151550292969,132.27630615234375
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img01462.png,136.5730438232422,419.56158447265625,84.14900207519531,418.358642578125,186.8558654785156,383.1287536621094,,,235.4160721535269,287.14030005880045,112.91937255859376,340.6899108886719,130.5106658935547,280.93505859375,28.86325893455512,127.51096638908793,48.01261138916027,301.5745759476789,48.15835189819336,220.8456878662109,24.47506280049004,518.7468822649984
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img01678.png,220.00694274902344,171.478759765625,,,,,217.0511474609375,160.2804718017578,,,162.33028988744525,70.79176144506243,120.52709197998048,140.91860961914062,95.592595206328,227.25207248065917,29.37518198353996,58.64051532132504,59.03067779541016,200.7461395263672,299.60406494140625,381.4882507324219
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img02267.png,237.1248016357422,259.3322448730469,208.3600006103516,237.25173950195312,258.73590087890625,211.8343505859375,198.8563690185547,269.20294189453125,245.14459672687383,76.47181765792561,214.4960545117334,172.43952599197974,136.9229736328125,184.9006500244141,32.10298156738281,69.64781188964844,152.96441650390625,159.62754821777344,29.256977081298828,201.0869903564453,54.34330368041992,537.505126953125
