scorer,,,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_2050000
bodyparts,,,wire,wire,wire,snout,snout,snout,rEar,rEar,rEar,lEar,lEar,lEar,trPaw,trPaw,trPaw,tlPaw,tlPaw,tlPaw,bodyC,bodyC,bodyC,brPaw,brPaw,brPaw,blPaw,blPaw,blPaw,baseTail,baseTail,baseTail,endTail,endTail,endTail
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img03728.png,261.0986022949219,169.38868713378906,0.9963704347610474,224.30154418945312,175.0064239501953,0.02598424442112446,202.42869567871094,206.57069396972656,0.8458612561225891,203.5158233642578,206.14041137695312,0.7463542222976685,213.97940063476562,183.12451171875,0.15137365460395813,207.2410125732422,171.92564392089844,0.014310740865767002,186.84593200683594,105.85993194580078,0.9870259165763855,202.60443115234375,164.26023864746094,0.9900395274162292,79.86346435546875,125.7318115234375,0.9984034895896912,115.80073547363281,33.54521179199219,0.9999558925628662,19.337142944335938,281.46038818359375,0.9993964433670044
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img21262.png,105.56098937988281,376.6914367675781,0.9976765513420105,45.908267974853516,373.11102294921875,0.9992349147796631,165.063232421875,350.085693359375,0.9986359477043152,177.10818481445312,132.7753143310547,0.39825624227523804,182.92897033691406,307.6385803222656,0.999448835849762,74.55875396728516,312.9488220214844,0.9976015686988831,119.66065216064453,232.4510498046875,0.9984018206596375,174.28622436523438,140.0177764892578,0.32721108198165894,37.988426208496094,214.3627471923828,0.9973925352096558,118.93323516845703,112.52125549316406,0.9971268773078918,28.708627700805664,334.2951354980469,0.9973433613777161
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img05287.png,337.2632751464844,178.82957458496094,0.980853796005249,240.9988555908203,182.72279357910156,0.01660883240401745,273.92449951171875,206.47177124023438,0.6430542469024658,271.428466796875,205.6826934814453,0.7626156806945801,244.4522705078125,175.49264526367188,0.20157739520072937,240.57322692871094,177.6224822998047,0.08287754654884338,271.2204284667969,108.73072814941406,0.9960034489631653,323.118896484375,55.96427917480469,0.43120908737182617,237.6570587158203,166.3050537109375,0.999774158000946,175.2394256591797,87.96638488769531,0.997270405292511,1032.798095703125,759.8284912109375,0.3015176057815552
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img02267.png,237.1248016357422,259.3322448730469,0.9962871074676514,208.36000061035156,237.25173950195312,0.9990052580833435,258.73590087890625,211.8343505859375,0.9983389377593994,198.8563690185547,269.20294189453125,0.9991889595985413,215.93177795410156,176.46954345703125,0.998130738735199,244.8324432373047,79.18321990966797,0.06684692203998566,136.9229736328125,184.90065002441406,0.9135366678237915,32.10298156738281,69.64781188964844,0.978764533996582,152.96441650390625,159.62754821777344,0.999808132648468,29.256977081298828,201.0869903564453,0.999086856842041,54.34330368041992,537.505126953125,0.9997977614402771
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img13878.png,443.7635192871094,298.8590087890625,0.9720898866653442,416.6197204589844,282.5591125488281,0.9996962547302246,405.4060363769531,307.3362731933594,0.08720672130584717,385.06829833984375,204.0888214111328,0.00705290399491787,325.1714172363281,118.76049041748047,0.9934822916984558,326.0726623535156,124.33613586425781,0.3052091896533966,311.3179626464844,237.92007446289062,0.8962717652320862,211.6754913330078,198.79721069335938,0.9998711347579956,350.14666748046875,224.87803649902344,0.9995549321174622,311.287109375,311.68743896484375,0.9999762773513794,550.4175415039062,152.361083984375,0.9998815059661865
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img11877.png,417.98858642578125,154.45460510253906,0.9996540546417236,451.94744873046875,85.74856567382812,0.9996299743652344,376.8401794433594,166.0598907470703,0.4053482413291931,426.2719421386719,138.6630859375,0.008438654243946075,371.2560119628906,54.59444046020508,0.9993876218795776,371.22998046875,54.26919174194336,0.1571563184261322,261.9942321777344,113.34751892089844,0.9963171482086182,191.9961700439453,38.213897705078125,0.9707896709442139,148.31187438964844,219.90879821777344,0.9905126690864563,140.6685791015625,174.04153442382812,0.9903124570846558,328.3640441894531,358.9168701171875,0.9967553019523621
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img08382.png,340.0574035644531,201.3580780029297,0.9790351390838623,314.417236328125,138.25430297851562,0.03363718092441559,187.67538452148438,77.02145385742188,0.007102088537067175,319.7007751464844,136.97486877441406,0.04567091166973114,215.17295837402344,259.46044921875,0.06091751530766487,298.96282958984375,115.42920684814453,0.02852933295071125,245.65013122558594,166.28762817382812,0.8408507704734802,229.53036499023438,244.347900390625,0.9997016787528992,197.96994018554688,68.36662292480469,0.9761082530021667,296.4707336425781,117.31510162353516,0.9977722764015198,55.62663650512695,123.63298034667969,0.9986407160758972
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img20648.png,260.1014709472656,162.11990356445312,0.9963167905807495,273.6112976074219,90.75469207763672,0.9994231462478638,238.79608154296875,172.96339416503906,0.4861301779747009,235.86700439453125,170.08905029296875,0.885349452495575,241.21311950683594,35.74119186401367,0.9976563453674316,81.64855194091797,198.16961669921875,0.9146090745925903,133.71148681640625,119.86888885498047,0.9958431124687195,236.48025512695312,166.2489471435547,0.12489622831344604,48.67533874511719,172.6095733642578,0.8967419266700745,33.91590881347656,158.85260009765625,0.993878960609436,273.72265625,331.78839111328125,0.9993280172348022
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img01678.png,220.00694274902344,171.478759765625,0.23833851516246796,119.095947265625,157.58840942382812,0.010648401454091072,140.70603942871094,226.21774291992188,0.05296787619590759,217.0511474609375,160.2804718017578,0.9955552220344543,94.61196899414062,228.98968505859375,0.01535073947161436,159.5604705810547,68.02194213867188,0.4740940034389496,120.52709197998047,140.91860961914062,0.991999626159668,32.81002426147461,49.06036376953125,0.24524973332881927,95.85084533691406,228.52276611328125,0.5839015245437622,59.030677795410156,200.7461395263672,0.8401797413825989,299.60406494140625,381.4882507324219,0.9993940591812134
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img00595.png,110.10409545898438,520.957275390625,0.9961506128311157,40.85273361206055,539.7693481445312,0.9994113445281982,155.42279052734375,497.8501281738281,0.08218181878328323,33.36650466918945,448.9805603027344,0.03160235658288002,176.4730224609375,500.4019470214844,0.9994346499443054,68.08432006835938,455.988037109375,0.9914495348930359,121.0859375,404.0126037597656,0.998727023601532,65.48092651367188,269.8438720703125,0.9533489346504211,43.34260559082031,338.4205322265625,0.9796760082244873,85.47331237792969,302.9298400878906,0.9884278178215027,21.60009765625,448.646484375,0.9987671375274658
labeled-data,FoxP2_118_130622_L-DOPA_CONTRA_GP_comp,img12701.png,458.31011962890625,186.2447052001953,0.9973241090774536,457.9317932128906,148.84222412109375,0.9998747110366821,189.24378967285156,89.87883758544922,0.6822319626808167,411.6392517089844,209.53646850585938,0.9996325969696045,415.09674072265625,51.54984664916992,0.988688051700592,376.85076904296875,136.7044677734375,0.9981114864349365,314.99749755859375,121.16307067871094,0.9938486218452454,412.4493713378906,47.69243621826172,0.019841231405735016,236.77847290039062,36.20728302001953,0.9411371946334839,168.82289123535156,147.0849151611328,0.9995434880256653,19.38089370727539,422.2865295410156,0.9995012283325195
