scorer,,,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor
bodyparts,,,wire,wire,snout,snout,rEar,rEar,lEar,lEar,trPaw,trPaw,tlPaw,tlPaw,bodyC,bodyC,brPaw,brPaw,blPaw,blPaw,baseTail,baseTail,endTail,endTail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,FoxP2_118_190522_CONTRA_GP_comp,img00000.png,937.2916977791604,788.6486732743679,978.0535094152332,800.7262470924635,882.9426155977302,794.6874601834156,,,947.8595748699944,864.1335096374655,1012.776534142258,889.7983540009186,901.0589763248736,900.3662310917523,801.4189923255848,864.1335096374655,917.6656403247551,990.9480347274696,786.3220250529654,972.831674000326,464.75662214616943,987.9286412729456
labeled-data,FoxP2_118_190522_CONTRA_GP_comp,img00791.png,923.7044272338028,776.5710994562722,979.5632061424952,797.7068536379396,870.8650417796347,772.0420092744864,,,913.1365501429692,836.9589685467504,981.0729028697572,874.7013867282992,895.0201894158259,895.8371409099665,798.3995988710609,861.1141161829415,916.1559435974932,989.4383380002076,786.3220250529654,974.341370727588,467.7760156006933,986.4189445456836
labeled-data,FoxP2_118_190522_CONTRA_GP_comp,img01506.png,912.1932373046876,752.2474975585938,952.5760498046876,754.4583129882812,860.9430541992188,766.8418579101562,,,910.1157836914062,818.8905639648438,976.8726806640624,874.7767333984375,887.1248779296875,876.9171752929688,795.4581298828125,843.4158935546875,910.0582275390624,970.4694213867188,768.5210571289062,949.674072265625,460.8551025390625,967.0427856445312
labeled-data,FoxP2_118_190522_CONTRA_GP_comp,img02753.png,831.0983574123477,813.8921592831427,971.424821452568,852.9489438517146,909.6329345703124,798.4354248046875,,,978.0927124023438,878.4888916015625,969.9620361328124,928.943359375,888.4908447265625,887.9872436523438,797.2423095703125,843.6502075195312,909.351318359375,973.3190307617188,768.256103515625,934.828857421875,446.1924133300781,972.0763549804688
labeled-data,FoxP2_118_190522_CONTRA_GP_comp,img03005.png,902.5686730521356,147.02756418803824,937.2916977791604,86.63969509755998,873.8844352341586,196.84755618768256,,,928.2335174155888,186.2796790968489,1009.7571406877342,242.1384580055411,959.93714868809,282.9002696416138,913.1365501429692,417.2632783679276,1038.441378505711,326.6814747322104,972.0147225061854,435.3796390950711,855.7680745070151,710.1444434567463
labeled-data,FoxP2_118_190522_CONTRA_GP_comp,img03034.png,791.1118774414062,120.9062271118164,811.6340942382812,45.641727447509766,788.1978298509227,148.25855738648602,,,876.7031850965295,167.93375797306498,913.7459502431876,78.53334896752801,910.5333862304688,214.93197631835935,890.880126953125,299.4839172363281,1031.86181640625,310.3784484863281,952.5940551757812,360.2699584960937,831.1480712890625,620.1430053710938
labeled-data,FoxP2_118_190522_CONTRA_GP_comp,img03151.png,885.4249877929688,198.38836669921875,,,875.19921875,147.77157592773438,,,907.656494140625,109.43624114990234,1010.2654418945312,113.31076049804688,953.5465087890624,179.35806274414062,906.6798706054688,273.0517272949219,1039.701171875,188.7634735107422,1000.0125732421876,314.3542175292969,972.7626342773438,619.4210815429688
labeled-data,FoxP2_118_190522_CONTRA_GP_comp,img03163.png,880.9441528320312,205.63784790039065,,,871.0340576171875,154.55392456054688,,,908.7244262695312,108.71493530273438,1010.03564453125,113.36739349365234,949.9163818359376,181.30992126464844,907.0615234375,273.3409118652344,1039.1610107421875,188.5437774658203,997.8189697265624,313.5623779296875,971.4126586914062,621.9357299804688
