scorer,,,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor
bodyparts,,,wire,wire,snout,snout,rEar,rEar,lEar,lEar,trPaw,trPaw,tlPaw,tlPaw,bodyC,bodyC,brPaw,brPaw,blPaw,blPaw,baseTail,baseTail,endTail,endTail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,FoxP2_118_190522_IPSI_GP_comp,img00863.png,551.7692904869849,688.8493340444761,515.4654547609526,693.3873135102302,,,606.2250440760332,702.4632724417384,594.1237655006893,779.6089233595569,597.1490851445252,729.6911492362624,616.8136628294593,812.887439441753,535.1300324458867,902.1343689349158,666.7314369527538,888.5204305376536,311.256378802021,977.7673600308162,,
labeled-data,FoxP2_118_190522_IPSI_GP_comp,img01377.png,,,341.5095752403813,784.1469028253109,,,432.269164555462,764.4823251403767,415.6299065143638,894.5710698253256,430.7565047335439,790.1975421129829,498.82619671985447,849.1912751677853,544.2059913773948,949.026823414374,585.047806569181,818.9380787294251,644.0415396239836,879.4444716061455,669.7567565965898,979.2800198527344
labeled-data,FoxP2_118_190522_IPSI_GP_comp,img04620.png,417.1425663362819,602.6277241951495,427.731185089708,626.8302813458378,383.8640502540856,549.6846304280192,350.5855341718893,641.9568795650179,362.6868127472334,587.5011259759694,332.4336163088732,625.3176215239197,265.8765841444807,587.5011259759694,212.93349037735027,569.3492081129533,172.091675185564,629.8556009896738,117.63592159651556,551.1972902499372,99.48400373349943,278.9185223046952
labeled-data,FoxP2_118_190522_IPSI_GP_comp,img05385.png,329.40829666503714,328.8362964279896,276.4652028979068,292.53246070195735,368.7374520349055,343.9628946471697,,,338.48425559654527,253.20330533208903,371.7627716787415,201.77287138687663,429.2438449116258,286.48182141428526,418.65522615819975,362.11481251018586,512.4401351171165,257.74128479784304,521.5160940486247,375.7287509074479,374.7880913225776,604.1403840170676
labeled-data,FoxP2_118_190522_IPSI_GP_comp,img06214.png,,,290.07914129516894,495.2288768389708,365.7121323910694,440.7731232499224,,,308.23105915818496,409.0072669896441,247.72466628146455,419.5958857430702,314.28169844585705,348.5008741129237,389.9146895417576,336.39959553757967,259.82594485680863,316.73501785264546,332.4336163088732,209.3361704964667,367.2247922129875,35.38029097589538
labeled-data,FoxP2_118_190522_IPSI_GP_comp,img06382.png,,,,,277.9778627198248,502.7921759485608,,,228.0600885965304,499.7668563047248,206.8828510896783,449.8490821814304,276.4652028979068,419.5958857430702,361.1741529253154,396.90598841430005,234.11072788420245,366.6527919759399,343.0222350622993,306.14639909921937,394.4526690075117,38.40561061973153
labeled-data,FoxP2_118_190522_IPSI_GP_comp,img06677.png,,,,,,,,,247.72466628146455,171.51967494851647,291.5918011170869,166.98169548276235,288.56648147325086,213.8741499622207,226.5474287746124,225.9754285375648,341.5095752403813,233.53872764715493,302.180419870513,348.5008741129237,79.81942604856533,430.1845044964963
labeled-data,FoxP2_118_190522_IPSI_GP_comp,img07616.png,,,225.03476895269444,918.7736269760138,259.82594485680863,838.6026564143592,,,194.78157251433413,900.6217091129977,108.55996266500756,864.3178733869654,178.14231447323607,806.836800154081,188.73093322666216,741.7924278116066,107.04730284308948,767.5076447842127,149.40177785679384,652.545498318444,267.3892439663988,452.8744018252664
