scorer,,,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor
bodyparts,,,wire,wire,snout,snout,rEar,rEar,lEar,lEar,trPaw,trPaw,tlPaw,tlPaw,bodyC,bodyC,brPaw,brPaw,blPaw,blPaw,baseTail,baseTail,endTail,endTail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,FoxP2_118_200522_IPSI_STR_comp,img01191.png,310.6642087432531,211.3259005474104,303.0004641503656,232.7843854074954,295.3367195574781,154.61419056004297,240.15775848868816,226.65338973318532,212.5682779542932,81.04224246832291,206.4372822799833,151.54869272288795,146.66007445546074,127.02471002564788,131.33258526968575,54.98551085250551,62.3588839336984,174.53992650155044,34.76940339930343,65.71475328254792,312.19695766183065,22.797783562378072
labeled-data,FoxP2_118_200522_IPSI_STR_comp,img04340.png,324.4589490104506,192.93291352448037,316.7952044175631,209.7931516288329,298.4022173946331,122.42646326991552,244.75600524442063,197.53116028021293,249.3542520001532,74.9112467940131,207.97003119856072,148.48319488573293,152.7910701297708,113.22996975845037,111.40684932817828,44.25626842246311,66.95713068943087,177.60542433870546,34.76940339930343,59.5837576082381,307.5987109060982,19.732285725222937
labeled-data,FoxP2_118_200522_IPSI_STR_comp,img08287.png,,,93.01386230524838,401.3867664510202,,,,,85.35011771236088,450.4347318455002,111.40684932817828,398.3212686138652,155.8565679669258,442.7709872526127,140.52907878115082,533.2031734486851,171.1840571527008,390.6575240209777,263.14899226735065,448.9019829269226,535.9782997741455,343.14230754507537
labeled-data,FoxP2_118_200522_IPSI_STR_comp,img09755.png,348.98293170769057,119.3609654327604,362.7776719748881,53.45276193392806,,,333.6554425219156,156.14693947862042,249.3542520001532,53.45276193392806,247.82150308157568,119.3609654327604,194.1752909313633,96.3697316540979,142.06182769972827,35.05977491099793,142.06182769972827,173.00717758297287,62.3588839336984,117.82821651418294,24.04016096926091,421.3125023925277
labeled-data,FoxP2_118_200522_IPSI_STR_comp,img15263.png,,,206.4372822799833,691.0763120621675,,,275.4109836159706,724.7967882708724,200.3062866056732,876.5389312100449,235.55951173295568,793.7704896068599,293.80397063890064,859.6786931056923,284.6074771274357,951.6436282203422,367.3759187306206,833.6219614898748,404.1618927764806,907.1939095815948,709.1789275734028,853.5476974313824
labeled-data,FoxP2_118_200522_IPSI_STR_comp,img16312.png,203.37178444282824,635.8973509933775,227.8957671400682,657.3558358534625,154.32381904834824,657.3558358534625,230.9612649772232,709.4692990850974,119.07059392106578,715.6002947594075,181.9132995827432,752.3862688052675,117.53784500248833,781.5084982582399,47.0313947479234,769.2465069096199,157.38931688550326,833.6219614898748,74.62087528231837,893.3991693143973,355.1139273820006,982.2986065918924
labeled-data,FoxP2_118_200522_IPSI_STR_comp,img17849.png,168.11855931554578,418.2470045553727,165.05306147839076,438.1727404968802,,,214.1010268728708,485.6879569727827,94.54661122382583,546.9979137158826,181.9132995827432,548.5306626344601,137.4635809439958,609.8406193775601,71.55537744516334,697.2073077364776,194.1752909313633,666.5523293649276,148.1928233740383,753.919017723845,345.91743387053555,968.5038663246949
labeled-data,FoxP2_118_200522_IPSI_STR_comp,img19369.png,,,1014.195962370325,41.19077058530797,,,,,922.231027255675,67.2475022011256,1011.13046453317,67.2475022011256,909.969035907055,128.55745894422537,822.6023475481376,134.6884546185354,919.16552941852,217.4568962217204,814.9386029552501,238.9153810818053,681.5894470390077,525.5394288557976
labeled-data,FoxP2_118_200522_IPSI_STR_comp,img19923.png,149.72557229261577,179.13817325728292,86.88286663093834,140.81945029284543,194.1752909313633,192.93291352448037,,,252.41974983730813,114.76271867702803,163.5203125598133,74.9112467940131,295.3367195574781,111.6972208398729,342.85193603338064,166.87618190866294,424.087628717988,54.98551085250551,437.8823689851855,127.02471002564788,745.9649016192626,146.95044596715547
labeled-data,FoxP2_118_200522_IPSI_STR_comp,img20264.png,181.9132995827432,858.1459441871148,142.06182769972827,924.0541476859472,188.04429525705325,806.03248095548,,,143.59457661830584,839.7529571641849,47.0313947479234,776.9102515025074,111.40684932817828,717.1330436779849,157.38931688550326,599.1113769475176,51.62964150365588,652.75758909773,102.21035581671332,554.6616583087701,77.68637311947339,251.1773724304253
