scorer,,,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor
bodyparts,,,wire,wire,snout,snout,rEar,rEar,lEar,lEar,trPaw,trPaw,tlPaw,tlPaw,bodyC,bodyC,brPaw,brPaw,blPaw,blPaw,baseTail,baseTail,endTail,endTail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,FoxP2_122_150622_CONTRA_GP_6-OHDA_comp,img01531.png,174.7847442626953,438.763916015625,152.65914916992188,409.2144470214844,,,196.64193725585935,480.5900268554688,53.31855108562456,493.82665915566406,131.34547424316406,494.4934692382813,111.3002700805664,551.3541870117188,42.938438415527344,603.3363647460938,211.83709716796875,596.0081787109375,130.27908325195312,669.0828857421875,375.3832702636719,809.8851928710938
labeled-data,FoxP2_122_150622_CONTRA_GP_6-OHDA_comp,img07229.png,255.0277862548828,619.7716674804688,81.63850402832031,757.9528198242188,,,,,131.55902099609375,770.4011840820312,107.711445018434,604.3034432290757,176.6950225830078,690.017333984375,226.43348693847656,797.4630126953125,197.02479553222656,599.3232421875,307.09771728515625,715.9545288085938,516.1048583984375,879.1182250976562
labeled-data,FoxP2_122_150622_CONTRA_GP_6-OHDA_comp,img07390.png,440.4273071289063,900.45361328125,414.5708312988281,979.6612548828124,443.05413818359375,862.6365514716624,,,384.266357421875,797.5897216796875,313.42364501953125,898.80810546875,304.7144470214844,782.940185546875,310.61451664357185,679.4490277309656,168.99010679416358,615.0025669298398,269.9716796875,640.5951538085938,165.79246520996094,365.2068176269531
labeled-data,FoxP2_122_150622_CONTRA_GP_6-OHDA_comp,img07468.png,655.3466186523438,883.6787719726562,679.5363159179688,934.98681640625,616.88232421875,850.5297241210938,,,542.773193359375,896.3261108398438,532.3612502557014,952.9093153115753,497.6675415039063,878.2573852539062,398.52545166015625,771.8150634765625,264.6291809082031,871.0784301757812,356.0980834960937,819.7781372070312,130.13336181640625,656.3611450195312
labeled-data,FoxP2_122_150622_CONTRA_GP_6-OHDA_comp,img07469.png,656.9500122070312,880.5283203125,682.046142578125,930.4808959960938,618.4398803710938,849.8056640625,,,542.6405639648438,897.5442504882812,569.47021484375,954.7147827148438,494.4898986816406,881.8167114257812,400.5227966308594,773.9193725585938,264.6326599121094,872.0991821289062,355.9449768066406,818.1975708007812,123.99547576904295,665.9786987304688
labeled-data,FoxP2_122_150622_CONTRA_GP_6-OHDA_comp,img07510.png,751.1254272460938,875.4893798828125,783.1929321289062,936.375244140625,714.8499145507812,849.1527709960938,,,660.2095336914062,873.8528442382812,673.1122436523438,953.91357421875,575.9274291992188,894.5484619140625,506.3583679199219,828.66455078125,399.9927062988281,956.6021728515624,425.7968444824219,857.5645751953125,109.6103973388672,871.45263671875
labeled-data,FoxP2_122_150622_CONTRA_GP_6-OHDA_comp,img07550.png,805.2666015625,856.49169921875,862.596923828125,956.9716796875,824.5559692382812,863.7565307617188,,,808.6084594726562,900.1574096679688,783.0718383789062,979.593505859375,727.956787109375,911.4965209960938,626.7200317382812,849.6044311523438,665.8674926757812,979.9512939453124,597.5103149414062,897.912109375,297.74713134765625,983.5692138671876
labeled-data,FoxP2_122_150622_CONTRA_GP_6-OHDA_comp,img07692.png,736.97607421875,821.5814819335938,,,774.6496663558745,852.3175659179688,,,836.7830810546875,931.4880981445312,,,720.65185546875,909.06005859375,722.848876953125,834.2706909179688,622.6900024414062,965.5421752929688,608.9479370117188,868.0305786132812,314.4935607910156,946.2484130859376
