scorer,,,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor,Victor
bodyparts,,,wire,wire,snout,snout,rEar,rEar,lEar,lEar,trPaw,trPaw,tlPaw,tlPaw,bodyC,bodyC,brPaw,brPaw,blPaw,blPaw,baseTail,baseTail,endTail,endTail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img00013.png,729.2149658203125,454.8901062011719,756.4398803710938,487.1520080566406,929.7235107421876,280.5079345703125,731.9305419921875,410.3732604980469,883.91015625,404.2626647949219,777.8934936523438,413.2410888671875,834.2528686523438,352.0212097167969,915.1318969726562,362.6778869628906,918.2611083984376,358.4046325683594,926.59912109375,261.66558837890625,774.5386962890625,14.80617332458496
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img00608.png,862.3740234375,201.6443023681641,950.449118726278,153.98156189185067,848.569091796875,240.9667816162109,,,927.6068725585938,147.828125,965.0387573242188,146.8459930419922,931.0564575195312,239.16297912597656,866.1910400390625,236.52276611328125,990.0719175424472,259.27606929629724,904.4113159179688,374.3330078125,1003.722900390625,174.27780151367188
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img01497.png,812.2835693359375,362.0975341796875,852.5286254882812,374.012939453125,,,812.4323925464396,311.3703721481046,991.9856237832576,318.6563085977107,876.1890258789062,312.5908508300781,909.5532836914062,232.3084716796875,,,968.9470836887456,210.17377537336083,942.2227783203124,100.18444061279295,646.5900532902917,19.269976609420723
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img02234.png,822.0621948242188,404.0472412109375,872.15234375,451.0312194824219,,,811.1085205078125,382.2464599609375,944.7794446870164,392.84535510538194,865.800931400445,400.5402905154617,900.520751953125,305.44561767578125,891.2072642735945,192.03050362758097,965.5482423459272,391.8942210602968,958.1487389701042,212.63901945853627,681.0574951171875,138.6995849609375
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img06191.png,824.1735229492188,382.0355529785156,,,848.7060702833537,346.66038937261146,,,915.54092163482,259.3338269122182,958.4444507944928,354.47058495839826,891.568603515625,428.90911865234375,842.30859375,375.3329162597656,985.0194043047964,446.3911853344198,952.3640747070312,448.8196411132813,998.3363037109376,155.90652465820312
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img06237.png,815.1689453125,588.12744140625,891.93505859375,643.7791748046875,,,825.7833862304688,595.6663208007812,937.7763671875,602.0269165039062,874.3262329101562,630.8154296875,868.8216552734375,506.2673034667969,876.9820556640625,379.5809521167521,893.324133340388,575.6621623246732,921.5719604492188,437.0468444824219,677.8324656293861,339.2872004326496
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img06415.png,821.5098266601562,616.97607421875,878.7723999023438,668.8452758789062,,,815.7796630859375,602.97412109375,,,853.815673828125,641.8479614257812,888.2787475585938,533.233642578125,889.3719554555073,407.7502753323325,938.12213875901,625.8649358374261,933.9415283203124,431.0794067382813,641.4681396484375,388.8435363769531
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img10565.png,854.5484008789062,315.5785522460937,917.6985473632812,356.1158752441406,,,862.7921142578125,331.9903564453125,951.6234569599576,182.3686189926584,982.0287549699476,335.2621353741481,887.963134765625,253.3654937744141,872.2219224608768,141.32728834307795,937.2527235748236,324.0462187330396,960.3526611328124,256.82647705078125,939.7366333007812,16.774234771728516
