scorer,,,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000,DLC_resnet50_Tracking_bright_setup_videosSep5shuffle1_1850000
bodyparts,,,wire,wire,wire,snout,snout,snout,rEar,rEar,rEar,lEar,lEar,lEar,trPaw,trPaw,trPaw,tlPaw,tlPaw,tlPaw,bodyC,bodyC,bodyC,brPaw,brPaw,brPaw,blPaw,blPaw,blPaw,baseTail,baseTail,baseTail,endTail,endTail,endTail
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img01497.png,812.2835693359375,362.0975341796875,0.9957582354545593,852.5286254882812,374.012939453125,0.9951056241989136,809.2677001953125,309.9496154785156,0.22318881750106812,825.05517578125,377.6399841308594,0.9891760945320129,990.4077758789062,317.0784606933594,0.9522486925125122,876.1890258789062,312.5908508300781,0.9860413670539856,909.5532836914062,232.3084716796875,0.9634368419647217,971.6522216796875,201.39425659179688,0.4588432312011719,989.4591064453125,314.3117370605469,0.07279007881879807,942.2227783203125,100.18444061279297,0.9997674822807312,327.8647766113281,584.1395263671875,0.9827677607536316
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img16449.png,775.6835327148438,298.3929138183594,0.9916178584098816,791.2490844726562,41.63988494873047,0.996006429195404,719.455078125,173.4773712158203,0.9862019419670105,718.9269409179688,173.70480346679688,0.03180740773677826,699.8245849609375,113.9203872680664,0.9897945523262024,804.6044921875,103.25602722167969,0.9989660978317261,802.375732421875,171.90707397460938,0.9941858053207397,856.114990234375,296.8103942871094,0.9797562956809998,880.6244506835938,157.00018310546875,0.9995545744895935,905.3182983398438,216.263671875,0.9933704137802124,660.2446899414062,179.17132568359375,0.9997933506965637
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img14249.png,807.5650634765625,410.47979736328125,0.9888381958007812,939.2261352539062,431.1213684082031,0.19330193102359772,946.4155883789062,433.27569580078125,0.04181130602955818,944.2083129882812,308.2273254394531,0.4352419674396515,828.49169921875,269.0001525878906,0.09372957795858383,917.8369750976562,430.3903503417969,0.9940860271453857,865.1123657226562,369.6763000488281,0.995261549949646,825.2787475585938,274.1669006347656,0.9956936836242676,828.7982788085938,273.291015625,0.5978352427482605,909.0809936523438,390.2107238769531,0.9015384316444397,1003.7642211914062,152.20266723632812,0.9935892820358276
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img06237.png,815.1689453125,588.12744140625,0.9903939366340637,891.93505859375,643.7791748046875,0.9994397759437561,824.889892578125,592.7677001953125,0.03060068003833294,825.7833862304688,595.6663208007812,0.9955947995185852,937.7763671875,602.0269165039062,0.9952771663665771,874.3262329101562,630.8154296875,0.9967591166496277,868.8216552734375,506.2673034667969,0.9973896145820618,876.9820556640625,392.2037353515625,0.10488628596067429,877.545654296875,392.6318054199219,0.9986318945884705,921.5719604492188,437.0468444824219,0.8780080080032349,267.5920104980469,536.5181884765625,0.8602828979492188
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img19314.png,827.5208129882812,248.72384643554688,0.9808719158172607,914.5587158203125,260.96221923828125,0.9988893866539001,836.30908203125,256.7102355957031,0.040426984429359436,834.6592407226562,257.3519592285156,0.9947072267532349,968.9852294921875,231.950439453125,0.9868075251579285,892.6475830078125,75.33964538574219,0.7670626044273376,877.0469360351562,163.4259796142578,0.97454833984375,966.6697998046875,166.98414611816406,0.975520133972168,874.2324829101562,58.7172966003418,0.6592209935188293,887.2782592773438,73.89525604248047,0.8063361644744873,616.640380859375,286.4775390625,0.9994490742683411
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img00608.png,862.3740234375,201.64430236816406,0.9967978596687317,929.3096923828125,146.37136840820312,0.9879823923110962,848.569091796875,240.96678161621094,0.24598771333694458,990.5108032226562,243.3406982421875,0.36716407537460327,927.6068725585938,147.828125,0.9901847839355469,965.0387573242188,146.8459930419922,0.991661548614502,931.0564575195312,239.16297912597656,0.994271993637085,866.1910400390625,236.52276611328125,0.9811351299285889,916.5067138671875,396.2595520019531,0.9281706809997559,904.4113159179688,374.3330078125,0.99750155210495,1003.722900390625,174.27780151367188,0.9566102623939514
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img06415.png,821.5098266601562,616.97607421875,0.9175887107849121,878.7723999023438,668.8452758789062,0.9991113543510437,817.8323364257812,600.86767578125,0.03731432184576988,815.7796630859375,602.97412109375,0.981963038444519,930.84423828125,627.0576782226562,0.6463293433189392,853.815673828125,641.8479614257812,0.9986072182655334,888.2787475585938,533.233642578125,0.979810893535614,933.5516967773438,625.4932861328125,0.8919982314109802,903.4094848632812,412.85546875,0.50249844789505,933.9415283203125,431.07940673828125,0.284254789352417,641.4681396484375,388.8435363769531,0.99960857629776
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img16733.png,798.4158325195312,299.5113220214844,0.9491108655929565,960.3807373046875,330.982421875,0.02167915180325508,932.2987670898438,134.6230926513672,0.007651618681848049,966.3369750976562,332.4627685546875,0.024313239380717278,928.4067993164062,140.6112518310547,0.9655246138572693,968.931884765625,332.83587646484375,0.9527308344841003,871.2989501953125,296.23944091796875,0.9623641967773438,841.316162109375,194.47201538085938,0.995244562625885,963.6632080078125,216.0262451171875,0.8445504307746887,920.9329833984375,322.9356994628906,0.9626041650772095,990.974609375,55.04985809326172,0.9726629257202148
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img22260.png,676.8746337890625,193.6749725341797,0.9964917302131653,674.4887084960938,145.19454956054688,0.9954081177711487,729.3119506835938,225.93804931640625,0.9925922155380249,681.2008666992188,198.70114135742188,0.12781910598278046,675.6881713867188,152.7957305908203,0.6197999715805054,838.3121948242188,206.90200805664062,0.42767488956451416,792.3548583984375,132.06068420410156,0.9746124148368835,904.3072509765625,87.92173767089844,0.9991508722305298,769.4586791992188,120.27242279052734,0.9998142123222351,787.8203735351562,27.873249053955078,0.9990328550338745,474.6964111328125,85.81498718261719,0.9999204874038696
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img18114.png,832.0406494140625,183.73565673828125,0.9905954599380493,959.2230224609375,63.79646301269531,0.9993723034858704,834.7144165039062,145.70565795898438,0.767289400100708,835.5086669921875,146.2178955078125,0.007937111891806126,838.1565551757812,259.8760681152344,0.15484194457530975,980.9985961914062,115.57044219970703,0.9734345078468323,898.4967041015625,151.37466430664062,0.9967538714408875,847.4679565429688,247.06666564941406,0.9990197420120239,979.1380615234375,136.88754272460938,0.9983224272727966,970.940185546875,205.96104431152344,0.9603744745254517,825.4761352539062,56.63679122924805,0.9982770681381226
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img18198.png,829.346435546875,420.9053039550781,0.9856553077697754,903.0601196289062,462.3799133300781,0.9173028469085693,846.8963623046875,422.0899963378906,0.059607457369565964,845.9478759765625,423.34735107421875,0.9918845891952515,866.8088989257812,215.8386993408203,0.587999701499939,931.5191040039062,464.4486389160156,0.9948179125785828,908.7549438476562,350.2416687011719,0.9880397915840149,876.4779052734375,223.7677001953125,0.3071049451828003,879.6390991210938,225.66717529296875,0.9919895529747009,952.1000366210938,259.151611328125,0.9079207181930542,688.84521484375,202.7521209716797,0.9978941082954407
labeled-data,FoxP2_123_220622_CONTRA_GP_L-DOPA_comp,img10565.png,854.5484008789062,315.57855224609375,0.9882291555404663,917.6985473632812,356.1158752441406,0.4793108403682709,924.1475830078125,349.95068359375,0.060794442892074585,862.7921142578125,331.9903564453125,0.997870922088623,980.0247192382812,338.5755615234375,0.9984696507453918,947.3161010742188,190.10012817382812,0.9374695420265198,887.963134765625,253.36549377441406,0.997170627117157,930.602294921875,330.6690368652344,0.05893252417445183,863.0938720703125,136.28231811523438,0.9971165657043457,960.3526611328125,256.82647705078125,0.1278964877128601,939.7366333007812,16.774234771728516,0.993728518486023
